Channel,10-20,ChannelGroup,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,P4,0,7.0563578000585E-06,2.9160047602383229E-06,6.9549489134857022E-06,5.0575620178649005E-06,-4.337207456478514E-07,-1.1926168455773582E-05,-2.500299831153829E-05,-2.6481295831412494E-05,-1.8039213517427037E-05,-1.076429075710573E-05,-8.349889698647616E-06,2.7762165958592141E-06,-4.3715444950416E-07,-9.53206278667031E-08,-3.3128892560233744E-06,3.3421957222724222E-06,-7.9723952591739619E-06,-1.1195721519749743E-05,-1.0798726974052592E-05,5.3887539684559746E-06,-3.4278850083292727E-06,-7.1209094275057679E-06,-4.429520158502533E-07,2.4999334032520623E-06,-4.0524182894430009E-06,-5.9541974799845237E-07,-9.6882902633764646E-06,-1.0098012991213925E-05,-7.8685881425848558E-06,-4.9497964032680972E-06,-5.1527905067590738E-06,-6.1860651974578211E-06,-6.7793773598811883E-06,-1.0552535579506217E-05,-9.7343990710611058E-06,-1.3243092554675238E-05,-2.6301991202266787E-06,-2.7961071103006869E-06,2.3569168421665675E-06,1.0258500950814744E-05,1.3350208116956243E-05,3.5679613198664482E-06,1.5323855193517576E-05,1.1825446781748394E-05,1.5440391885133862E-05,1.4003744048377385E-05,1.0388881329385702E-05,-1.2600667052588633E-06,-7.0126227935519292E-07,-5.1358007068769745E-06,2.5623583707428756E-06,6.4704093051436069E-06,7.5309237819303276E-06,5.8134207342197679E-06,1.0547275490317952E-06,4.0531701820708628E-08,2.2761794582156645E-06,-1.0122111001412485E-06,-8.0768916984398946E-06,-7.6763738462777015E-06,-2.26214349606814E-05,-1.5634224289886126E-05,-3.2186799844748624E-06,5.1076461649988113E-06,-5.99364812219424E-06,-2.616634819085075E-06,-1.6017065003380434E-06,6.0842354478313125E-06,4.9424303011783555E-06,7.0311124519183208E-06,-6.5743229457399362E-06,-8.83190432472043E-06,-8.6122156708768E-06,3.9748607452511614E-06,6.3145605141007514E-06,5.1105301164363194E-06,2.0962297724192834E-06,-1.0249514960555505E-06,-6.6521411473911459E-06,-1.2028391947507425E-05,-2.1486126032249772E-06,1.4791524219026684E-05,1.4313663258397377E-05,4.6741102740217692E-06,1.3608914846929307E-05,1.2738155222267881E-05,3.2297999219313813E-06,-1.8662127448503321E-05,-1.9844402142370892E-05,-1.9236277373323989E-05,-4.3167741366253146E-06,-1.2445454579544568E-06,2.9383765997289972E-06,-6.30280572150763E-06,-1.9225301321825537E-06,1.4837892362317703E-06,8.4311175586025852E-06,3.8052032859313758E-06,5.9705025976116093E-06,7.9275516433520414E-06
2,POz,0,-6.7496714974734823E-07,-7.8249100420478989E-06,-7.5523566299515932E-06,-1.0558317223091809E-05,-8.9820748915626861E-06,-1.579624635730391E-05,-2.4309391615785624E-05,-2.3999655517821859E-05,-1.6071911807475629E-05,-1.4382720871174144E-05,-1.422129991590761E-05,-1.255696084270906E-06,-1.4734746327448823E-06,-1.189741586532254E-06,-3.402841668694001E-06,5.2951137793843866E-06,-5.9770153542294995E-06,-1.2016029749467709E-05,-1.4260414861223434E-05,1.267352530455987E-06,-8.0042138747874074E-06,-9.8208260692482133E-06,-1.2192139298789789E-06,2.3989329772228837E-06,-5.0632714692162145E-06,7.4168962535820937E-07,-5.1082967077695522E-06,-1.1193741315969686E-07,4.0682859398210735E-06,3.5708259603186732E-06,-1.8781293070718445E-06,-2.6699804041478762E-06,-6.1554780057486851E-06,-1.0696560567723095E-05,-6.4862637385722144E-06,-4.6357806993614858E-06,6.0901103753741357E-06,5.1763596174074784E-06,7.396887791926392E-06,1.3212497217660751E-05,1.4243584624389263E-05,3.9511770653612338E-06,1.2871828014400727E-05,3.0832052108411558E-06,7.199106260765327E-06,1.1570689913712496E-05,1.3450343731983914E-05,7.6464123403937742E-07,-3.0528240322743791E-06,-1.2062117839469686E-05,-4.33440547172776E-06,-6.6084199833287863E-07,5.6107163320504144E-06,7.6374899462640624E-06,3.2728092251355042E-06,2.9837841782863023E-07,5.4793184454490284E-06,5.4730985942060246E-06,-2.7327424616675067E-07,-2.4900611060689826E-06,-1.8346565219427679E-05,-1.6298866019977266E-05,-7.5585247041680111E-06,2.7441595505044809E-06,-7.4650583859736924E-06,-4.2383805574184983E-06,-4.45520512130899E-06,1.3459053976407437E-06,3.2350268212828562E-07,6.817534971945876E-06,-4.23869839186948E-06,-4.6510486330453067E-06,-5.6513715981780771E-06,3.2692925708878173E-06,4.2450874641305079E-06,4.3217154246641531E-06,-4.7076561978917648E-07,-2.5124119714141015E-06,-7.0284678006934741E-06,-1.1954100231946235E-05,-2.853650021894029E-06,1.651451572251595E-05,1.5089311157340149E-05,1.2532529339116774E-06,8.1151079750252181E-06,1.3966357322704428E-05,9.7630950760567191E-06,-1.3202226942687177E-05,-1.6903494879271118E-05,-1.6771200463948324E-05,-3.5535153973916704E-06,-5.6490742111598474E-06,-2.7250258324273585E-06,-1.0498548295757389E-05,-3.695725971101928E-06,-7.87366807031994E-08,9.8027160804558774E-06,9.4611029393094776E-06,1.4351659162445564E-05,1.0462639549828677E-05
3,PO4,0,1.7476858396760994E-05,1.2450474035396085E-05,1.5243879811257658E-05,9.50241631937591E-06,5.8291515831838115E-06,-4.1826346496161531E-06,-1.7139169968435674E-05,-2.0093270334060031E-05,-1.0832794259558006E-05,-1.0038233379755604E-05,-1.0704938013299238E-05,-1.2312661201173847E-06,-6.2742460381213319E-06,-4.7399120956596359E-06,-5.8526982840669673E-06,1.1565407310097073E-06,-9.4652695359312771E-06,-1.3583560822818459E-05,-1.5416478116718732E-05,-2.4677989367342241E-06,-1.3069321459942198E-05,-1.2209836264211739E-05,-6.7568838556364775E-07,2.0355031605595083E-06,-7.9195454883618948E-06,-5.9571759022878247E-07,-1.1889948802144273E-05,-1.5617959097380904E-05,-1.5303188267367275E-05,-1.5227562840861305E-05,-1.4681646388803128E-05,-6.26307734696675E-06,-4.5709242592142211E-06,-8.0279911972968861E-06,-7.7160887175063234E-06,-1.2217153788869042E-05,-4.1246177262885371E-06,-1.0471448423065928E-06,5.6494410783672733E-06,1.0449377745153368E-05,1.2038271494921639E-05,2.9752469883580896E-06,1.4604194629641318E-05,8.2650920219131316E-06,9.3098630721439061E-06,7.6844357877840357E-06,6.87294726599283E-06,-2.5383126694416773E-06,5.2693220645728231E-07,-4.5715910654019312E-06,2.3724399530096756E-06,6.6667486353604078E-06,8.7287424155844148E-06,6.63346112058773E-06,7.3284464507284616E-06,6.6754515366620268E-06,1.0274273754092413E-05,6.4501365885212595E-06,-1.6681358835309558E-06,-4.3506729705402788E-06,-2.0179588597339865E-05,-1.4588317103338572E-05,-4.4909831569910058E-06,-4.393813912485935E-07,-1.2764630603472596E-05,-6.015217387246319E-06,-2.8921360356819955E-06,3.0158081564406184E-06,7.3394307760015774E-08,5.3318682260568294E-06,-7.4149263085705132E-06,-1.063072830470998E-05,-1.1357476921533942E-05,3.8929507408799811E-06,6.7141300971943229E-06,5.9102304113703695E-06,-9.0435644046942961E-07,-6.5906768880755016E-07,-3.4439198811120745E-06,-1.1032783591623827E-05,-4.1279076203201344E-06,1.79154836006772E-05,1.5963779958132344E-05,2.60091966190003E-06,1.1059515810251244E-05,1.4886676603737509E-05,6.4246880670357394E-06,-1.8063436536787322E-05,-1.9456124247263385E-05,-1.5167480655826209E-05,1.0533650868706556E-06,1.1274410415322646E-06,2.1249540561757443E-06,-1.0096481191701651E-05,-7.1045979260246614E-06,-5.3014736424033375E-06,5.1615150824021415E-06,2.7839287649997245E-06,6.8046981800513565E-06,5.727800176754001E-06
4,O2,0,9.487567828720871E-06,4.0441099499968158E-06,-1.6413825137241518E-07,3.9281299790248618E-07,-6.2046174085027008E-06,-1.0284525026195923E-05,-2.3051377172902929E-05,-1.3747452118579167E-05,-6.5549607117685293E-06,-5.9419702634104225E-06,-1.2141202504605693E-05,-3.7305240849183123E-06,-1.3066701114848514E-05,-6.8207066394258668E-06,-5.8835297491443911E-06,4.50375844970012E-06,-8.008329016920449E-06,-1.095589648631116E-05,-8.9105766846972839E-06,-7.1356153303836164E-08,-7.6080532604410716E-06,-7.2270233860346753E-06,5.5340752833058216E-06,-5.43608071515735E-06,-1.3781458620634952E-05,2.0087243382188978E-06,-3.20676274446109E-06,-1.8503023617046404E-05,-1.2261361326542427E-05,-1.77760834414261E-05,-1.4870628401304623E-05,-8.68980059481153E-06,-8.2242218647541224E-07,-1.3909570777393821E-05,-1.0238532976133953E-05,-9.83291516995601E-06,-2.5244075970008846E-07,3.2038490524367164E-06,1.2579934977416316E-05,1.5863135901349616E-05,1.7133555111381212E-05,5.1416533326996746E-06,1.9806257821070597E-05,1.8332215075417894E-05,1.482485731144671E-05,1.6289788468427565E-05,1.1460136657700271E-05,1.1283835084364964E-06,-9.9225748427883409E-06,-1.4783166363888569E-05,-8.3248093717505886E-06,3.4904578988575271E-06,1.1504248403433452E-06,5.6936481544820413E-06,9.9952400090913146E-06,1.4493144574797248E-05,9.1974655391051109E-06,7.3176265852771426E-06,-1.2750388070966155E-06,2.8553704533089155E-06,-1.2932137364992766E-05,-1.1471150321694022E-05,-7.6973438446975869E-06,-3.5546680846720849E-06,-1.2885554510995451E-05,-4.0250846389645327E-06,2.5584515864005323E-06,3.6198737946286127E-06,3.6693437178955542E-06,5.2145386611878822E-06,-3.7094544696019547E-06,-6.4704313886942611E-06,-7.3168376809523889E-06,1.81502676883129E-06,6.1025331439099506E-06,-7.051308473618259E-06,-9.7690692659088291E-06,-7.0193852784105038E-06,1.383118938854017E-06,-8.279587481561821E-06,-2.5768900847319837E-06,1.5597506306202265E-05,2.0787200733729602E-05,5.4801101870021905E-06,1.3557314146728039E-05,1.4633792197897388E-05,5.6306729793161649E-06,-2.1946384756408459E-05,-2.2721005755171105E-05,-1.3453035493689725E-05,-1.4288270296140602E-06,-2.8870802237317067E-06,-2.3031229839420671E-06,-9.7470393175001512E-06,-1.2271513038154325E-05,-5.2335384202394816E-06,4.2126924457082423E-06,2.7882993723050114E-06,-3.8087712254577573E-06,4.6983383342650814E-07
5,O1,0,6.0585227103443605E-06,-3.616981024500328E-06,-8.6420897318479655E-06,-4.12848700830957E-06,-1.011548064096211E-05,-1.322649132867338E-05,-2.3692292922334171E-05,-1.3349070361523107E-05,-1.0848136356493176E-05,-7.1406763722373093E-06,-1.9362179678782204E-05,-7.6302445226318651E-06,-1.0610094017352333E-05,8.7865283988154051E-07,-4.3580302393415708E-06,3.7527520825245331E-06,-2.8895557204957833E-06,-5.36014164293663E-06,-1.1653128279333826E-05,2.8990939756924018E-06,-3.2269164751252771E-06,-6.8832728853589357E-06,5.5062485741045113E-07,-2.8312598797490543E-06,-5.3602778367308859E-06,-3.885687619755035E-06,-2.8193679277950487E-06,-1.9958874464284121E-06,2.0071167923919973E-06,-9.2662906236613643E-06,-9.8487770135776112E-06,-1.2841284678475041E-05,-8.29278366010729E-06,-1.71946594139154E-05,-6.6880476518258456E-06,-5.8300928165194663E-06,1.2594373771193517E-05,1.246232093296883E-05,1.9255871507737441E-05,1.8062969336049729E-05,1.394706334138226E-05,-3.51879318422835E-06,8.244677768640422E-06,3.017699386831085E-06,5.3646712595299255E-06,7.5564629646952153E-06,4.65555895853064E-06,-3.7142766897142095E-06,-6.3945392381640844E-06,-1.7413648308108575E-06,4.4530492467059356E-06,5.6684022591086079E-06,2.2881725059363366E-07,6.5000296754800591E-06,-4.8286495913871676E-06,-2.8220359736597889E-06,-5.9858580202419172E-06,-2.0919253568364598E-06,-9.3871187632106612E-06,-7.2070364374359532E-06,-2.631737445331112E-05,-1.9826273136318311E-05,-1.4578415103365742E-05,3.1091272927751909E-07,-3.923490544338627E-06,2.191027974890932E-06,1.5131800633304356E-06,7.2017631551583093E-06,5.3811185509939133E-06,1.2221446107088806E-06,-9.7878315064805026E-06,-1.0945824883972075E-05,-5.3479632510388992E-06,-3.2818548278230471E-06,7.052300210746031E-06,8.1149925359362085E-06,7.7417264324046582E-06,-3.1179841984794216E-06,4.0562551351189472E-08,-1.0083130300446341E-05,1.6475651834200976E-06,1.7401206796353054E-05,2.6898829595593639E-05,9.18450124566382E-06,1.239142130262873E-05,8.2648326157615871E-06,9.34685300018296E-06,-6.8409911590671232E-06,-7.3346510579223732E-06,-1.1222492482333806E-05,2.5871860617198939E-06,2.0806121309386266E-06,-4.3650191756148844E-06,-1.11094236499777E-05,-1.2992650732242302E-06,3.4940402747738575E-06,8.57674535215126E-07,7.6346261387058015E-06,1.306560718486471E-05,2.0473045876234349E-05
6,Oz,0,-1.0376174766812306E-06,-9.0150663584214087E-06,-4.8782197228075327E-06,-3.6802228823780873E-06,-2.0775312050007912E-06,-1.0623477716069373E-05,-1.6471117008198858E-05,-1.2701508817013107E-05,-8.9240860700129091E-06,-1.1893342352762511E-05,-1.3860433770619465E-05,-3.8906433774521714E-06,-5.4791022604334987E-06,-7.4534710645601826E-06,-1.0325158529633868E-05,1.4936581619542334E-06,-5.174320922176016E-06,-7.7001720618752652E-06,-1.3499697586974113E-05,-1.0820687432876846E-07,-6.67482359550731E-06,-7.537007004606415E-06,5.993231818771412E-08,2.7521076359206826E-06,-1.7508067963036816E-06,5.5289093568897634E-06,-2.5857922550974192E-06,-1.994394544822754E-06,-2.0464915594485313E-06,-5.9350621755518943E-06,-8.68814810496821E-06,-2.7578783147754521E-06,-1.6694442584785464E-06,-8.0613888320780072E-06,-5.36939619850288E-06,-5.0173406448118826E-06,4.0218167974960039E-06,4.099730803183989E-06,6.8477381749314714E-06,1.2636833985436316E-05,1.2761522182165084E-05,4.0174598606359995E-07,1.1777261227248487E-05,6.02114359705305E-06,9.1046842042571E-06,1.2815698835882202E-05,1.3901724609557676E-05,-1.633893027840288E-06,-4.0545194925778762E-06,-6.4325747680136118E-06,8.059423258715142E-07,-2.8209698969997537E-06,1.2406571861926443E-06,5.7613368154898328E-06,3.1374656527326746E-06,2.2518797573837776E-06,7.8486900881362084E-06,6.7801898048088485E-06,-4.5286716003150859E-07,-1.5897109804518381E-06,-1.6083763338848143E-05,-1.5062712859554151E-05,-8.71117578159398E-06,-6.9087015579895607E-07,-1.2568913190548252E-05,-5.200908029696814E-06,-3.7349139231977367E-06,3.7431712632419766E-07,-3.5124047730531957E-06,1.1136832846916667E-06,-8.910408923274241E-06,-6.0848688221425122E-06,-4.2743723677219723E-06,3.9624176917351368E-06,3.2866968266093457E-06,4.05543766456609E-06,2.0393877418535253E-06,-9.5884538820100911E-07,-7.38904670038605E-06,-1.2871088028607582E-05,-8.4634530134195457E-07,1.8102197167865406E-05,1.6415493330901966E-05,3.0029574459643313E-06,6.0511277933613543E-06,1.0287085569303767E-05,8.8896581161880048E-06,-1.0822784204772318E-05,-1.2922257015461337E-05,-1.3908277886574918E-05,-2.1572237023522912E-06,-3.5693107410087818E-06,8.5066238185941824E-07,-9.5738115333906448E-06,-7.0248458373855476E-06,-4.5104424559396886E-06,2.3591611357501294E-06,2.2003028517203594E-06,1.1702608294428541E-05,8.9691162240567358E-06
7,PO3,0,-1.1979066386729107E-06,-6.6653576944649641E-06,-1.8136637681384328E-05,-4.3846373629353591E-06,-9.4419061249563535E-06,-5.4598867896183182E-06,-2.2672652126096371E-05,-7.8791604268083736E-06,-1.0755457933892813E-05,-4.842599111915994E-06,-1.8405330523613549E-05,-9.1499104280198184E-06,-1.7593136660112574E-05,-3.3931986896867563E-06,-7.57186751174904E-06,3.2266392055761175E-06,2.0798109421868085E-06,-2.2281367423473915E-06,-7.5039356514758014E-06,-4.5718612591917153E-06,-1.3976471814677232E-05,-1.9816063427280065E-05,-7.5811897035382894E-06,-1.6766212398900644E-05,-1.5013094686230644E-05,-1.5675230273257149E-05,-5.1306569438375335E-06,-1.0118360930737873E-05,5.1537195918115642E-06,-1.2223361136823974E-06,2.2070137938178948E-06,-1.6355300108532828E-05,-1.4839713587289742E-05,-2.4415726342215282E-05,-5.6643549631256774E-06,1.4190522082446874E-06,2.42377889078386E-05,1.9838050570837247E-05,1.9606104541064002E-05,1.4586786436045211E-05,7.2347568274755632E-06,-6.9228129960090829E-06,3.2805505329838526E-06,6.1677246407824093E-06,9.4321094534204826E-06,2.1386181676939811E-05,1.804011685736121E-05,1.4341372178372448E-05,4.1194951092140631E-07,6.3219754175174315E-07,-1.1231541891140829E-06,1.3427474154970402E-05,2.9167687281123723E-06,1.1854819297662776E-05,-2.9245211659596969E-06,4.6161497032798556E-06,1.2465524553711725E-06,1.0653349430165976E-05,3.2884072119511381E-06,7.0382111455296708E-06,-2.2199393688025056E-05,-2.1844875868640019E-05,-1.4591828469572367E-05,-1.7641737021652329E-06,-1.2016898286233641E-05,-1.6032945731474739E-05,-1.1280751241324982E-05,-6.0962160784482425E-06,-1.3348927945495012E-06,-3.7660919879523641E-06,-4.8441297956453092E-06,-1.2176859757589249E-05,-7.0937643430772084E-06,-8.07705631396458E-06,1.3343450233606842E-05,8.759213583726372E-06,1.2949614399375049E-05,-5.4428064539263917E-06,3.8718480535317474E-07,-6.783657679815477E-06,5.3379664069304876E-06,6.4016079668833716E-06,1.6357304470969273E-05,1.3957526374633011E-08,1.0911813228399747E-05,1.1661375575504007E-05,1.3815670988289737E-05,-6.90096297600041E-06,-1.0660508057689811E-05,-1.2127652809257569E-05,-3.8394687587268015E-06,-8.1860764502426514E-07,-7.0330960970160074E-06,-6.1790039016241219E-06,-5.8939757894496516E-06,-3.6072104415408382E-06,-1.0322614320157322E-05,7.9834553426577947E-06,4.2780859997783694E-06,1.1921348525076212E-05
8,P3,0,1.0311665840225812E-05,-1.1553077762550908E-06,-2.7407974137033269E-06,-4.5626244140436239E-06,1.5672403997836051E-07,-5.1760176508672444E-06,-1.1799617133369843E-05,-1.2024206135018914E-05,-1.1227958519923871E-05,-1.3928657551940114E-05,-1.7246908028333121E-05,-7.1247712946191373E-06,-8.5493359346555329E-06,-8.8162769549947231E-06,-1.060249959405229E-05,-7.5582498654583082E-07,-8.4306896876410337E-06,-1.0945562348000225E-05,-1.2229552588202588E-05,3.4532681566819527E-06,-1.0870051739733418E-05,-1.7384097402624298E-05,-1.2331467495715623E-05,-6.8531944160507974E-06,-1.1980395115818433E-05,-7.6408185122662182E-06,-1.0340970823705705E-05,2.174328808174864E-07,7.6414091717554481E-06,8.5014348377353166E-06,-2.5861656936224852E-06,-1.1794081950197207E-05,-1.5245489615280176E-05,-1.5602673226327771E-05,-7.1807481252244024E-06,9.3587999445609576E-07,1.7320287127105858E-05,1.4973495055473676E-05,1.2541564112932259E-05,1.2544778691851552E-05,9.5996555430600758E-06,-5.5933597860106516E-06,2.1237533262813481E-06,-3.4454498075929061E-06,6.7881622936296428E-06,1.4651912539671525E-05,1.9271857431700604E-05,6.3753541870571984E-06,-7.16392691191783E-07,-1.2323560196323673E-05,-7.7440178908384883E-07,5.5452134809541247E-06,8.165226188651912E-06,6.50267335105688E-06,-1.12983392267843E-06,-4.5830960016826446E-06,1.2150315509450445E-08,2.6063619585561441E-06,-6.9347880964814994E-07,-2.9848552154770962E-06,-2.1640750260640296E-05,-2.2631353254223176E-05,-1.5989910904296855E-05,-3.0319688176003158E-06,-1.0584382854846868E-05,-6.4528649276403163E-06,-3.6296830007676536E-06,3.9935363009522293E-06,-7.3969433050545152E-07,4.306420932141657E-06,-3.4343697652535805E-06,8.0494619679773646E-07,-1.1175927555698518E-06,4.5702515319733287E-06,6.2637799139377082E-06,7.979685011208038E-06,4.852773274116809E-06,4.382795351521588E-06,-1.2081228585447574E-06,-6.36237924128801E-06,3.88582858346194E-06,1.7255290626531585E-05,1.4092055220092083E-05,3.3151822425529607E-06,6.8408392486244427E-06,5.7297324437116614E-06,5.1486871301194834E-06,-1.1134154785413293E-05,-1.3551064485118337E-05,-1.5664352549176855E-05,-4.7196090011608325E-06,-1.1668738231250013E-05,-1.0630663248313741E-05,-1.4398310303033789E-05,-4.519158065047359E-06,-4.8737727522226088E-06,1.8239438342560911E-06,4.9839834482706212E-06,1.2979656573759641E-05,1.1189722546871309E-05
1,P4,1,7.24432166486841E-06,5.3201642907544219E-07,-9.4473279332870973E-06,-8.17290918356922E-06,-6.608187130754931E-06,-4.356162024283896E-06,-9.4975092876392139E-06,-1.5728023139437258E-06,6.948888215498621E-06,1.5150592375958642E-05,1.209268213409699E-05,1.5850237458871562E-05,7.1844093219522594E-06,9.1739019745818127E-06,-8.368651851767942E-07,-1.4278480845425566E-05,-5.6712369563432518E-05,-6.8490762893033729E-05,-3.0343928658587127E-05,9.0437712070738062E-06,-1.3998308178868195E-05,-3.6965083275835713E-05,-3.605677459728663E-05,-2.3302822505993607E-05,-1.2091561042566399E-05,-2.8821892009425248E-06,5.9023527187771657E-06,1.4349095611504578E-05,2.6300844059386277E-05,2.6458012582771454E-05,2.3281048625006531E-05,2.2157945278115177E-05,2.8400280643525413E-05,2.9250154324393531E-05,4.2850458579395246E-05,4.5860106154837373E-05,4.7626288832230283E-05,3.7076418504428895E-05,3.3124072415316924E-05,1.8880658205006583E-05,1.3199063343850002E-05,3.1421508525457173E-06,7.66328219791494E-06,6.7145977457286819E-06,1.1356022006976146E-05,1.1496385185561262E-05,1.143143286179729E-05,6.5275863576009016E-06,8.1310777589908057E-06,4.8856292335723655E-06,-4.3337828876622766E-07,6.3322466584585783E-07,-5.0663549827925711E-06,-2.8177290616307892E-06,-5.2812417583250544E-06,-1.0791298150919032E-05,-2.09203249214885E-05,-2.2749305843281882E-05,-2.8670745889096037E-05,-2.390553868713492E-05,-3.0737132448896483E-05,-1.9569973357736268E-05,-1.1909484466158617E-05,-3.7136010685510716E-06,-1.1120859635119434E-05,-8.1786645676756587E-06,-6.7497829660240451E-06,1.3016569338666012E-06,-4.73263636314183E-06,-1.1754162682840123E-05,-1.7336241919381772E-05,-1.6870285178179539E-05,-1.841047792107845E-05,-1.0946219487674011E-05,-4.6719462763935313E-06,-1.8907981990059196E-06,-3.2660870490594874E-07,-1.2114942125702589E-05,-9.4525275061368824E-06,-3.7140500823601208E-06,-1.0627928049764521E-05,-2.4406666836461893E-05,-1.4375143433452148E-05,-1.1465777797672846E-05,2.3046311644104754E-06,7.9628030431018078E-06,1.8214568150254571E-05,1.3681330485277311E-05,1.5102491504705775E-05,3.3458134329018307E-06,3.3395407540075197E-06,3.9406781828616494E-06,7.8930995942204546E-06,8.6221288372780736E-07,-2.002492571528492E-06,-5.4495823575881642E-06,-5.9472143917239834E-06,-2.4450449687066025E-07,1.1412266361199773E-05,1.2253286949661623E-05
2,POz,1,6.1403027121291149E-06,-1.5614254388848972E-06,-9.8146004094316634E-06,-8.3374503758536935E-06,-4.3576802763299573E-06,-4.7724380607263551E-06,-1.804085194921549E-05,-1.66985533423913E-05,-6.4634984527093451E-06,6.7464601883212E-06,8.1037002132765E-06,1.2392120025230043E-05,5.0681402357603545E-07,1.8219772078300115E-06,-2.7024307757167945E-06,-1.0230118463879533E-05,-5.1810124719695428E-05,-6.4231136660883472E-05,-2.4518223254226607E-05,1.6028495656564515E-05,-7.8343394832570625E-06,-2.5470563908131475E-05,-2.3365096202819129E-05,-1.379164349277399E-05,-5.9836845969551241E-06,2.6429433165974705E-06,7.17097189604996E-06,1.4018142496710517E-05,2.8324020844381832E-05,3.3611589057679032E-05,3.1614508644420222E-05,3.1119074306354836E-05,3.4526202643101465E-05,3.2263298128112867E-05,4.4654999623188461E-05,4.664410180527948E-05,4.71065674080293E-05,3.7597708748436316E-05,3.7455495380367281E-05,2.6388695386267034E-05,2.3648865118153206E-05,1.4528755707302526E-05,1.3358265390104778E-05,5.1366576823511772E-06,4.7165804249384973E-06,-1.4586356179475349E-06,6.0612748488509582E-07,3.709078708186263E-08,4.3334881999409132E-06,1.9378853291027622E-06,2.3854396253767612E-07,-1.7133968707968529E-06,-1.3044155085236934E-05,-1.6369962521699427E-05,-1.9630188916633585E-05,-2.3710794474905892E-05,-3.0689243799830412E-05,-2.6279748983521485E-05,-2.4578781261635437E-05,-1.9628287075183692E-05,-2.9794479257540933E-05,-1.9889148216463451E-05,-1.5580476596649939E-05,-1.1562712647960919E-05,-1.8638375401024041E-05,-1.2573875774257306E-05,-7.2431304786985819E-06,4.5220632143075086E-06,-5.49285639236623E-06,-1.6012360712054859E-05,-2.0906239398172326E-05,-2.0018298189642161E-05,-2.3814998083477312E-05,-1.826656791142395E-05,-1.496924972117346E-05,-7.9719943182568085E-06,-1.2949756526798808E-06,-6.9070420000671358E-06,1.0385695471979112E-06,6.8046298872293872E-06,-2.3102140784093566E-06,-1.5664923501455152E-05,-6.748349220311059E-06,-6.9028886237852024E-06,3.6593082515913681E-06,7.3682820331051572E-06,1.62325601841621E-05,1.0218249032187757E-05,1.8394165549758384E-05,1.610330947005038E-05,1.7398459524929019E-05,1.3572835695848167E-05,1.1887865018311041E-05,-4.3596262416065285E-06,-9.2366592559549612E-06,-9.5928171184491946E-06,-4.5657378100201017E-06,3.4910551178369817E-06,1.6654401944026155E-05,1.6584920801137571E-05
