Channel,10-20,ChannelGroup,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,P4,0,2.0172790837901468E-05,1.5945177214259174E-05,1.7026530298871909E-05,8.1937226883609581E-06,-8.53802616285298E-06,-8.0071350511550631E-06,-2.7014087495427418E-06,-9.1704102401371543E-06,-1.754633914432722E-05,-2.3733248803985743E-05,-3.2327184661760889E-05,-2.4993534183993856E-05,-2.1687066206767317E-05,-1.8443458317243806E-05,-1.5328745376302811E-05,-7.0458607508795885E-06,-1.604124488394384E-05,-1.0429169915087666E-05,-1.819645341605212E-05,-2.2020513086645141E-05,-1.7339695549852887E-05,-1.3163373134953873E-05,-9.5856824341781581E-06,6.0902166815767308E-06,-1.9324579254519144E-06,1.0514470683605333E-06,5.6564999779326834E-06,-9.8064025598863356E-07,-9.75307128331785E-06,-6.4347432876461536E-06,-4.6233886183178242E-06,-9.09262337301142E-06,-3.287357013018145E-07,1.2127074922692099E-05,1.540454316866889E-05,1.3817077597198705E-05,2.1847573650548544E-05,1.2301513598866835E-05,8.1872531462954091E-06,7.5123153994870724E-07,8.4948794689772975E-06,6.1300521282177721E-06,6.1039753938977977E-06,-7.6592698575864271E-06,-1.5368576958225125E-05,-2.17286396201346E-05,-1.1925521848571908E-05,-7.177964838905149E-06,-2.7359114782664358E-07,4.4761798731693437E-06,3.2466297838508816E-06,5.1501467874948329E-06,9.0654964532492145E-06,3.5726876125884406E-06,-3.5249402190254743E-06,-9.1275320527972351E-06,-1.4473321277879988E-05,-6.5909387314802337E-06,5.5543765735792682E-07,8.4825926990275758E-06,1.1020531500088085E-05,9.2472537714606848E-06,-1.0702666796660632E-08,4.543458450677997E-06,-4.13288944828921E-06,-3.7295863857121733E-06,-2.2077897971388842E-06,6.8008162384953635E-06,-3.0285246799282483E-06,-2.5818511989294035E-06,-3.7128963838196278E-06,-2.8922786861628105E-06,-7.7797215305104146E-06,-4.3023546482969362E-06,-1.0146872063882513E-05,-7.8206064395767442E-06,6.685293737696072E-06,1.2790313357638611E-05,1.5795979085276358E-05,2.0617232944075205E-05,3.1856828878378695E-05,2.9331243290339068E-05,2.1286801147678141E-05,1.1316262308273313E-05,1.3301299521223899E-05,1.0081037972644196E-05,2.5848357992067E-05,3.3258310365801648E-05,4.1931592612203811E-05,2.5023311551498908E-05,1.46882012878019E-05,4.9565221315930643E-06,-1.2211445603523004E-06,-1.2903761980708473E-05,-1.5004860101146981E-05,-2.0029688640571542E-05,-1.6740887787737868E-05,-3.2571222586766439E-05,-4.6622108478219194E-05,-3.8643616430522487E-05
2,POz,0,1.8448766248671959E-05,1.2341304048937631E-05,1.9843766751298297E-05,1.26657561437575E-05,3.4929334718139707E-06,1.8800435040618184E-05,2.8464581055805383E-05,1.4115541258287637E-05,2.38417709416106E-06,-9.2075944848515862E-06,-2.2255340090299431E-05,-1.8710949710488131E-05,-2.2704601216250993E-05,-2.3773315151380708E-05,-2.1873665735173381E-05,-1.9270592818323189E-05,-3.1694834611211622E-05,-2.5468012442524937E-05,-3.3107749358325019E-05,-3.8874299193025926E-05,-3.1241698503533491E-05,-1.7355904434285388E-05,-1.7265128764365108E-06,1.1725008586487546E-05,-6.2893433189432041E-06,4.1157059529380075E-07,8.7746008071047618E-06,1.6944254263387759E-06,-2.0919209129302945E-06,1.6489570522636882E-06,-1.7451106745093478E-06,-3.9463493532705978E-06,2.1874710375372642E-06,8.4248844622656162E-06,1.5282170190910993E-05,2.50482818354978E-05,3.3195259190187687E-05,2.1348932665375137E-05,1.56701894267826E-05,8.3302881830408546E-06,1.3570147264778111E-05,7.53519318658262E-06,7.5917442738961283E-06,-2.5752701557570162E-06,-7.2014193162264445E-06,-1.8402049063896965E-05,-8.0503576494283488E-06,-3.6654110846964208E-06,-3.7443183402763448E-06,-4.3304551234001767E-06,-2.7941771616322414E-06,4.28164529535203E-06,9.3390711175730256E-06,-4.8113746997076927E-06,-1.3372177936362632E-05,-1.835700579416721E-05,-2.3195516155043766E-05,-1.6452860534069039E-05,-6.2204871168311276E-06,4.1991321957821639E-06,8.78007700546091E-06,3.8066775754818033E-06,-5.7521545200535494E-06,-5.0896483790670551E-07,-1.376982141008509E-05,-9.0168885396375524E-06,-3.609565621062881E-06,3.4703017859832622E-06,-6.9528969787782986E-06,3.7965843057961156E-06,4.4483915217366075E-06,2.6686427477076904E-06,-4.8021039636678747E-06,6.4370929839759126E-07,-4.75653673825888E-06,-2.0768363353314655E-06,9.8860157822073263E-06,1.8580358230670417E-05,1.8680088433621639E-05,1.6936250638224305E-05,3.4786494640188389E-05,3.8011354150636245E-05,2.0952479022305477E-05,8.2185258748805524E-06,9.32400664735574E-06,6.2716282887024854E-06,2.366946514316175E-05,2.697465169151859E-05,3.4009282102514314E-05,2.0830788745223596E-05,1.3578767552863408E-05,7.3520796589550288E-06,1.1359673322989814E-05,1.0451780720927357E-05,1.272090642164013E-05,4.6935774517128611E-06,5.0601761135460461E-06,-1.3201380342209379E-05,-2.6742278818710594E-05,-2.0997673830702864E-05
3,PO4,0,2.0920159448011526E-05,1.8335973827579516E-05,2.1480105684947895E-05,1.1115604360854162E-05,-6.0017240621718078E-07,3.0002774716804978E-06,8.7273786801286239E-06,-2.5499643388786876E-06,-1.2940906719563789E-05,-2.113719042674797E-05,-3.0559030494243649E-05,-2.5779008475814595E-05,-2.3315391982732066E-05,-2.39742048610578E-05,-2.3713744214933062E-05,-1.2745031444183799E-05,-2.1805281203139217E-05,-1.8778616735350983E-05,-2.7810356366300804E-05,-3.1768632039221963E-05,-2.3231371887106056E-05,-1.2496737581977666E-05,-7.3879994328713478E-06,1.0420162931152035E-05,5.1711107486458075E-07,3.7823861827659317E-06,7.92911916731201E-06,3.6074545783373317E-06,-5.2596131280093078E-06,-1.2114271553247443E-06,-1.8607550196180823E-06,-7.2955455655791519E-06,1.7031614163079073E-06,1.6286089958569747E-05,1.941741315753542E-05,1.7879855269402541E-05,2.4182375578571475E-05,1.4323192659999799E-05,9.610737465308226E-06,1.843161930580133E-06,9.7605581547199914E-06,1.0703158065668302E-05,1.8400284645746467E-05,1.3852428815501871E-05,8.5978127862283538E-06,-2.1529809199591703E-06,5.2054963176230042E-06,2.1213721556001055E-06,2.099959985945984E-06,2.8893740087660286E-06,-4.3981356843260134E-06,-3.4315053563877594E-06,-1.8446720473309174E-06,-1.7441897844848647E-05,-2.647843465780657E-05,-3.2678312686483152E-05,-3.7750207782698609E-05,-2.9522331068023852E-05,-1.8705618828491527E-05,-7.4320653785475559E-06,-1.6634087645256746E-06,-3.3677711224955971E-06,-1.0392760876378597E-05,-4.2779684000998238E-06,-1.4763862027524057E-05,-6.9835208504715383E-06,1.1995294981893603E-07,6.929087041242316E-06,-3.253443942229814E-06,4.0680396856378858E-07,-2.9984932717455128E-07,1.5052447493026233E-06,-8.7696648859604537E-06,-3.0576971478694178E-06,-2.1604609716296181E-06,-1.0287963175071295E-06,7.4448964432977782E-06,1.5529800419960282E-05,1.843263774108784E-05,2.2889014373629386E-05,4.351475137679221E-05,4.3175190053473541E-05,2.8191680842322497E-05,2.0613040913542086E-05,2.52803211040963E-05,2.3670516988955727E-05,3.8862522219134752E-05,4.3337563230046209E-05,4.9122202715365668E-05,2.9016253396612932E-05,2.1144288188555125E-05,1.7244441531085764E-05,1.0371077861710517E-05,-6.5855294094975727E-06,-9.2856767422698279E-06,-1.2027766943056684E-05,-6.9570932779962021E-06,-2.3549561254765781E-05,-3.5986323433269558E-05,-2.8998618793587031E-05
4,O2,0,1.5299473988245589E-05,2.1268908370425005E-05,1.580382432999469E-05,1.465385578424908E-05,7.2193455779692557E-08,6.2416316936391746E-06,1.3570616023319856E-05,1.0650207621195987E-05,-7.3723885873825727E-06,-1.990098872633976E-05,-3.5768735426363112E-05,-2.9715465237135792E-05,-3.05339442099769E-05,-2.8131248420125669E-05,-2.8845646214088946E-05,-1.5059924635694948E-05,-1.8758802062773333E-05,-1.7778668941136328E-05,-2.4415492933245534E-05,-3.17574326485503E-05,-2.1863385085711E-05,-1.2896163544123326E-05,-7.2902023261836861E-06,8.8534267350811279E-06,4.3919747123997117E-06,1.336681765524643E-06,1.7027339083773048E-05,1.3012735386853483E-05,4.6827663380954817E-06,-1.8132991791168162E-06,-8.5709269452523453E-07,-1.2075086084489077E-05,-2.7835840770183337E-06,1.1214894062254806E-05,2.2263161159780189E-05,1.3506436595188993E-05,2.22344795947475E-05,1.6001445472297323E-05,1.0012760400128926E-05,3.2988882563580777E-06,1.6533174773480406E-05,1.5176483920062969E-05,1.6193367912548025E-05,1.1531429819466709E-05,2.1902423722538378E-06,-4.2873788258790182E-06,-3.6913265021584506E-06,-7.4432991546971094E-06,-1.0638974181463373E-05,-4.586482561062676E-06,-1.3999438501237717E-05,-8.7616244405895508E-07,3.173388112508515E-06,-7.6461838198027353E-06,-2.409912264148551E-05,-2.0556566368332486E-05,-2.1235576294509552E-05,-9.8678808305165666E-06,-3.7119232267854132E-06,6.0978653144424975E-06,3.0848763690897381E-06,1.8492546710928096E-06,-4.4778537346467317E-06,1.3147378661747508E-08,-4.4748994576176947E-06,5.665063762633262E-06,5.4690092250004434E-06,8.04311441330219E-06,1.03748869075946E-05,6.9506229829825376E-06,7.134598765631828E-06,3.2086597862659056E-06,-8.84979703936165E-06,-6.3879836836907281E-06,-1.5527575134125585E-07,-6.31863407567516E-06,7.1622938675857943E-06,1.1804258436393516E-05,1.5046723167062135E-05,8.0330210312028777E-06,3.6292197634246205E-05,3.3720696155181118E-05,1.5007587264333802E-05,9.3067143292026568E-07,1.0279303432278109E-05,7.4411553889721875E-06,1.9790204668750103E-05,2.8612495399606276E-05,3.4896679329416904E-05,1.2609675469061917E-05,8.4623075480750888E-06,1.4414900595554337E-05,6.6613887960766538E-06,-6.116749970051221E-06,-9.3963591631771685E-06,-4.1355800450006143E-06,-6.3103919124780214E-06,-2.0293095955641619E-05,-3.69814757875463E-05,-2.4858878503685513E-05
5,O1,0,3.13179067603454E-05,1.3895454514771948E-05,1.6966429420754404E-05,1.5176138768945494E-05,-1.1921003230298117E-05,9.8450496120568619E-06,1.5197294067900024E-05,1.5074664153722204E-06,-1.4719910071472269E-05,-2.5701999460209707E-05,-4.5311324442427121E-05,-2.0240953939887582E-05,-2.091359434799838E-05,-1.4426826094527054E-05,-6.1468885197454126E-06,-5.9466842624895546E-06,-2.2590661753249822E-05,-1.3043760029754E-05,-2.8072061687321536E-05,-4.289218965166187E-05,-3.05041564127765E-05,-3.8592316336025353E-06,3.5952782072617771E-05,2.8518656843542529E-05,-2.0335310722151609E-06,-1.9301421900911589E-06,-7.7524036392942193E-07,-2.4428709831881263E-05,-1.0734456908499062E-05,-1.2818890390002398E-05,-1.2708863602935037E-05,-9.4309684541643779E-06,3.1808954724639149E-06,-6.6233149945704485E-06,7.21716672688184E-06,1.1241418849625796E-05,5.5382979112512593E-06,-1.8794103629824384E-05,-2.4824762337396932E-05,-2.5982820546963349E-05,-7.1789104506835992E-06,3.79542471170198E-06,1.6614449121189617E-05,1.0222571743258723E-05,7.5665566278713318E-06,1.2913893136487499E-06,1.67840678724712E-05,2.9341395820660871E-05,1.7159199071578855E-05,1.2753299160378576E-05,1.596731593825272E-05,3.5661697165576953E-05,2.5821645875393054E-05,5.0329594286931276E-06,-1.2405150521489047E-05,-1.3462692308931329E-05,-2.637949918158211E-05,-1.6671871859731377E-05,-7.93838144415024E-06,1.0139782669997586E-05,3.5318794839792372E-06,-7.6011177350735339E-06,-1.6456406440849346E-05,-6.1264793729283581E-06,-2.1271011113581643E-05,-1.3262542304775186E-05,-4.8898466414455379E-06,-6.8097473513258956E-06,-1.3659397582437996E-05,1.0426288750175854E-05,9.51082001727542E-06,-4.4363051247537091E-06,-8.31891845463243E-06,-5.1690441572402719E-06,-1.1925230256559691E-05,-1.9661735112774459E-05,-3.9368630011216732E-06,2.1330781240348937E-06,6.9603445770821142E-06,-4.6204864060454807E-06,3.0516547694816885E-05,3.9703854395236034E-05,2.6451630742534341E-05,9.7697641095605818E-06,1.5901876475089557E-05,2.1014214564316251E-05,4.8260210465860047E-05,3.5787450967414123E-05,3.4469817375005114E-05,2.5192323064853107E-05,1.3087590687277705E-05,4.4501819665172307E-06,9.1769629467869364E-06,3.3232187427375957E-06,-8.9441790510899365E-06,-1.3737970459596541E-05,-1.6522788404216114E-05,-3.1342404740984488E-05,-4.9896348285640655E-05,-3.7920685552566175E-05
6,Oz,0,2.8094008869068155E-05,2.32927002492109E-05,2.486955734666768E-05,1.2700056161106622E-05,1.7067419351550217E-06,7.9342061832785267E-06,1.2056757895059385E-05,1.6821852565845854E-06,-5.5626185458315574E-06,-1.4799483954241199E-05,-2.8824131747968567E-05,-1.999080634714873E-05,-1.454598956873254E-05,-1.5003547129939663E-05,-1.7257892557641743E-05,-1.0112568070286097E-05,-1.9574864693937979E-05,-2.258065535259454E-05,-4.0243642737867894E-05,-4.6339701816735713E-05,-3.420119492087973E-05,-1.6147251454492238E-05,-7.5268784541565748E-06,1.0532819186941212E-05,-3.80368105282685E-07,2.3758424602334813E-06,1.022280303016173E-05,4.927082333520024E-06,-7.5265495249661227E-06,-5.3522346606029063E-06,-4.6990209241301715E-06,-7.5024953043470358E-06,1.9635911264493979E-06,1.7672149232555945E-05,2.1348121837167806E-05,1.8409368135010305E-05,2.7012086827888566E-05,2.0427873790982437E-05,1.7097667268901614E-05,7.5226495392771992E-06,1.0982646194304525E-05,4.0639442552455035E-06,3.2024296843542158E-06,-8.5074838360535533E-06,-1.5998059290418625E-05,-2.5954243717105541E-05,-1.3641233634790144E-05,-1.0957875887252576E-05,-1.1785327145498171E-05,-9.4146026038221275E-06,-2.4535009855164978E-06,4.0196460957099056E-06,1.1037145470237618E-05,2.0712365979506203E-07,-7.0846639546686389E-06,-1.029079245863236E-05,-1.4268234972112654E-05,-6.8392434025950425E-06,1.4117019271192058E-06,1.1737201728599995E-05,1.5081931357811872E-05,8.77776399214864E-06,2.6630426876626696E-06,8.945292631563502E-06,-1.7524514180604319E-06,3.6459224930213959E-06,2.7201823990264283E-06,7.9841935517041526E-06,-1.2067581630386679E-06,6.6207458071363171E-07,3.3733288680484436E-07,4.4620588275874655E-06,3.9667398026675439E-07,9.4179608941258745E-07,-1.1863128278559331E-05,-4.3459629987637071E-06,7.9227632292488084E-06,1.2433313002252502E-05,1.3965141580490388E-05,1.0864667491296685E-05,2.2334996869790389E-05,2.5285150094618184E-05,1.4145093070216797E-05,6.3078446986943605E-06,1.0177522590106915E-05,8.0672254313402574E-06,2.4410941216996484E-05,2.739560439987284E-05,3.3948783714844331E-05,1.8095157964207479E-05,9.597565968207731E-06,1.4054016443669141E-06,2.0086726631581508E-06,-5.6306318607211222E-06,-4.9473763396613312E-06,-7.7478721639671616E-06,-4.801836257231207E-06,-2.2684422073464851E-05,-3.64041230240085E-05,-2.8264827919717503E-05
7,PO3,0,2.1317739732006931E-05,1.5521574907117547E-05,5.153534761932984E-07,1.3782000917866122E-06,-2.6587129309047554E-05,3.1232307698646573E-06,1.3675771003279235E-05,7.9157839757971949E-06,-1.4207667374023548E-05,-1.822775740812408E-05,-3.242260168235993E-05,-5.8134238313706886E-06,-1.539428684451931E-05,-1.0706265216186693E-05,3.4514678257279735E-06,-3.8801147865933529E-06,-2.8283405612782331E-05,-2.4268635748883552E-05,-2.7989952442665161E-05,-4.7914927844697872E-05,-3.43295304428622E-05,-1.7294279625637546E-05,2.9395879608644771E-05,2.6432157685022009E-05,-3.2281204423799433E-06,-1.2194081280036625E-05,4.0771543019565965E-06,-1.6673983072706022E-05,7.2425977827812656E-06,1.7431705334265144E-06,2.7671051450854568E-06,-3.0333622992016686E-06,8.1258607852720127E-06,-8.4181886197903847E-06,1.0390137063289015E-05,3.3363138508567326E-05,3.7174474285415E-05,7.7097507236133369E-06,1.6277752845293935E-06,4.1311336438005955E-06,1.5628152080258909E-05,1.5689893339107439E-05,1.5265520298594983E-05,6.8190808513341966E-06,-5.92889633434398E-06,-1.2363126304739847E-05,-1.2259684249526189E-05,7.4094395589222642E-06,-8.981735941516113E-06,-9.793374210905565E-06,-1.7355017170522974E-05,1.5135245440492478E-05,9.2152287524005775E-06,-6.7397708898296628E-06,-2.9735334024804109E-05,-2.9530927494919731E-05,-4.4034659463328257E-05,-2.1059091825155203E-05,-1.1508076735954446E-05,3.1998376273858071E-06,5.6047201240878691E-06,7.1250013439803829E-06,-1.6787688972272734E-06,4.1984077421814792E-06,-1.2185206284580512E-05,-1.095625540483734E-05,3.5949607503159725E-06,1.8564263989508758E-06,-9.77312828302993E-06,7.0464967200964628E-06,2.0050687273968384E-05,-3.2101955356246603E-06,-3.1855379863983416E-06,1.1804285066239563E-07,9.45277429849795E-06,-3.1833566551501517E-06,1.6328949473011173E-05,1.5746348000149274E-05,2.0940917974783637E-05,3.6393059562230746E-06,4.2871837620117767E-05,4.7493120626634048E-05,3.1304219584521041E-05,9.6330618224854116E-06,1.2103188338894086E-05,8.9448173525529081E-06,3.0643997593031211E-05,2.7470605519345029E-05,3.0099925199540188E-05,2.8561632449400464E-05,1.520153644534258E-05,7.1563531337746336E-06,7.0585993579914179E-06,1.2083102080047277E-05,-4.8197479174331581E-06,-4.5586104449114092E-06,-8.5575069381070618E-06,-1.0175841939747268E-05,-3.066800043621044E-05,-1.7293826880990056E-05
8,P3,0,1.3009777403748962E-05,5.852347319757882E-06,1.4343416637879229E-05,1.178862736048264E-05,1.6019347473859419E-06,2.1374302065454466E-05,4.3326109291409E-05,3.6662171461809E-05,2.4031867264555636E-05,1.0008107304093464E-05,-4.1329517538085945E-06,-1.6822520513784588E-06,-9.3335206706091009E-06,-1.0276443408344844E-05,-1.1376773468937337E-05,-1.7006180803374659E-05,-3.2845963464835678E-05,-2.7960239609054562E-05,-4.088217177058983E-05,-4.881003496891914E-05,-3.9845665401527737E-05,-2.3743980974850267E-05,-4.0586331829193491E-06,1.1443238429243787E-05,-5.9254565255199927E-06,1.9026777665121098E-06,1.1190854425766392E-05,1.7744873155396061E-06,-5.2075234138053452E-06,-1.7839436193504954E-06,-5.2001644044064062E-06,-7.0668083472304342E-06,-2.1157456981674731E-06,2.7022390599701048E-08,8.30303080510792E-06,2.402484114693469E-05,3.7482951162509057E-05,2.5113248377489062E-05,1.8572612597075725E-05,1.2969479066660681E-05,2.1858092093474766E-05,1.4883346699809889E-05,1.4180824692906535E-05,4.3203725054153391E-06,-4.4841957218007843E-06,-2.0525882477988624E-05,-1.0105646223700388E-05,-3.262742504616104E-06,-3.6430951899644543E-06,-1.0879112863103954E-05,-8.4233882668647691E-06,1.2919481123032093E-06,5.5364707002899812E-06,-8.30861254450955E-06,-1.766280047805785E-05,-2.398522112275792E-05,-3.2718233242598874E-05,-2.6709657485310738E-05,-1.5244488841809712E-05,-4.2221396946482538E-06,-6.9491047736062057E-07,-3.879244592457962E-06,-1.3840202968603436E-05,-8.9253605910017737E-06,-1.899993810778883E-05,-1.900379352356913E-05,-1.4215851122779448E-05,1.9904169822466268E-06,-1.4881831217482573E-06,1.3052265485093958E-05,1.3689981999227677E-05,9.2100653090917374E-06,2.4967263732953926E-06,1.0496843624015171E-05,4.2940057417098605E-06,5.4570076325820016E-06,1.6709366082004322E-05,2.5047265651508067E-05,2.4765611026474376E-05,2.2559625696338073E-05,3.7864104810932626E-05,3.9495636419047731E-05,2.7460267517638885E-05,2.0177178201176868E-05,1.9738516010472114E-05,1.2057283019508186E-05,3.0284412762660894E-05,3.60718251689949E-05,4.1686116235374035E-05,2.4652955294698652E-05,1.195291080215813E-05,-2.4901032672542871E-07,3.2319196299454936E-06,5.56968896827503E-06,9.74832769010505E-06,1.2115549794295277E-06,3.28868953413141E-06,-1.1513318615440192E-05,-2.3493557255201388E-05,-1.8681483724363478E-05
1,P4,1,-2.5873077993112288E-05,-2.7148284893990863E-05,-3.3595685528071286E-05,-3.0604967126230656E-05,-2.3341337382697449E-05,-1.2684818424357639E-05,-1.3595695536726976E-05,-1.7578565156545877E-05,-2.5723030293886131E-05,-1.4327858768263875E-05,-1.2230752023506969E-05,-4.5778397655822849E-06,-5.1165368918291776E-06,1.4280708248860066E-06,1.7109155364541116E-06,1.1064829487018549E-05,-1.3993168426343771E-06,-2.0407068327024187E-05,-2.5316923614028665E-05,-9.5449241157807435E-06,-4.6244715731353267E-06,1.1612620496245395E-06,-4.9027085471077056E-06,2.15553642898161E-06,2.6655943884330906E-05,3.6403449929364189E-05,3.8538740512451776E-05,3.5835224550576733E-05,3.3331029499473797E-05,2.934258568629629E-05,3.5742854624741179E-05,3.6567358166260387E-05,2.2583060857345724E-05,4.6585462572397374E-06,1.4142820672908551E-05,5.3154477225924708E-06,7.350416052896748E-06,1.3527108855086079E-05,2.1648138493702062E-05,1.1062335820488707E-05,4.7800251147656951E-06,-6.4979810504722666E-06,-1.7102577789391506E-05,-2.3112478088205961E-05,-5.308485265935627E-06,-3.8790578805469228E-06,-7.70868482429165E-06,-6.0481043441158388E-06,-2.413037835925938E-06,-3.7783645345549984E-06,-5.2034897783305506E-06,5.7891242945811159E-07,-4.4316173427057517E-06,-1.5641957224144186E-05,-2.4164896173149952E-05,-1.9083994257414382E-05,-2.1190847753909717E-05,-1.7903281817988015E-05,-1.5822972543476316E-05,-1.634400855656128E-06,5.3887230867268844E-07,8.7180816253729361E-06,3.6411097049330528E-06,1.1883465984096497E-05,7.85445384719027E-06,4.388915429474975E-06,1.9459881457052423E-06,2.7970204470168765E-07,-1.3588341272079362E-05,-1.7255358972635468E-05,-1.281648176034107E-05,-7.9361126932079859E-06,-8.3546609129500088E-06,-1.0784952639481755E-05,-8.12310283819098E-06,-6.0815977692660592E-07,2.3791003695437814E-06,-6.0870685095012467E-06,-3.7893167482151629E-06,-6.1257470242254556E-06,7.1388015473126551E-06,1.6176723156311243E-05,2.0273768661533946E-05,1.9865622563359806E-05,1.8709040473647064E-05,-8.5703250945163865E-06,-1.3551269339987509E-05,-9.9899465009887377E-06,-6.7020217782176176E-06,-1.9669803180149265E-05,-9.860802722563642E-06,7.24585919329036E-07,9.0365640197063561E-06,4.1970359405572716E-06,6.5024856345504276E-06,1.980481515664213E-05,2.43911583140234E-05,1.492540711945458E-05,1.2790190407085403E-05,1.975414557313546E-05
2,POz,1,-1.556720873795769E-05,-2.7054971065373689E-05,-3.7366140263180513E-05,-3.9953972299298395E-05,-3.6001141949198106E-05,-2.8961163936216526E-05,-3.203808817729282E-05,-3.6277645668701723E-05,-4.3073503402842082E-05,-3.9998923699928868E-05,-4.4172427919195687E-05,-3.3048810431943694E-05,-3.2710493132092483E-05,-2.7550004191498421E-05,-2.4053582374715921E-05,-7.0517627271329892E-06,-1.674879947171471E-05,-3.0228062094298076E-05,-3.0274320812902362E-05,-8.9267139317674968E-06,4.5071817885907888E-08,1.0684828991732156E-05,6.5253963087605085E-06,2.270235921697232E-05,5.8014056000986174E-05,6.3688837371343249E-05,5.5539583815714127E-05,5.1428775601904773E-05,4.5968072725985957E-05,3.9005561223396427E-05,4.386577622539295E-05,4.5285868736905923E-05,2.9203090459133936E-05,8.9214828046975866E-06,1.8497299388531967E-05,1.2873522185215367E-05,1.0960261450739061E-05,1.2131995683639051E-05,2.0003366625771908E-05,8.97269030957395E-06,4.0131188393444172E-06,-1.4123630727761171E-05,-3.0934259546559509E-05,-3.493617217975722E-05,-1.0869144564491834E-05,-6.62622269538329E-06,-7.9252612092555561E-06,-7.5880758751146883E-06,-1.7700888232845319E-06,-1.7079933335823195E-06,-2.7207966060005743E-06,3.8322316367828985E-07,-1.1409899373107925E-06,-1.2983309632489801E-05,-2.5283653006892495E-05,-2.0652167537879821E-05,-1.7268061536026191E-05,-9.9813621397424335E-06,-9.3890199624211977E-06,5.1204411602173981E-08,1.5094896567961494E-07,7.3165549414402372E-06,3.1595758780236849E-07,1.5061992562540481E-05,1.0195416789915059E-05,1.7918004289546457E-06,-1.9192068857851687E-06,-3.9821599659183088E-07,-1.2052684894915268E-05,-1.3889826857292275E-05,-8.7949378311470618E-06,-6.2018659012144058E-06,-1.3864238990957507E-05,-1.6178703988136252E-05,-1.2343735642684578E-05,-3.0906763191700919E-06,7.1941324365734258E-07,-6.9800538821641004E-06,-5.2831853291037744E-06,-5.6950943563734612E-06,5.8244736629783038E-06,1.13100552801337E-05,1.636505821341904E-05,1.8547752179793389E-05,1.4883845224110262E-05,-1.0665560185095489E-05,-1.4215745215496181E-05,-1.1579283824814544E-05,-5.5437336448385334E-06,-1.6825893227480237E-05,-8.4017259147789672E-06,6.4451947931657557E-07,1.2458167104554767E-05,5.823765801907434E-06,6.8433032015706667E-06,1.9380796917460987E-05,2.711864380723509E-05,1.6895592579238723E-05,1.2108523758315286E-05,1.4594272140725844E-05
